time,current
0.0010023117065429688,"-2.625671E-09
"
0.3237290382385254,"-3.019715E-09
"
0.8074352741241455,"-3.050026E-09
"
1.2906556129455566,"-2.534737E-09
"
1.7741930484771729,"-2.701448E-09
"
2.2582366466522217,"-2.837848E-09
"
2.7418699264526367,"-2.762070E-09
"
3.224924325942993,"-3.095492E-09
"
3.7093372344970703,"-2.565048E-09
"
4.1917548179626465,"-2.959092E-09
"
4.675082206726074,"-2.610515E-09
"
5.159894227981567,"-2.625671E-09
"
5.6427061557769775,"-3.140959E-09
"
6.125964879989624,"-2.701448E-09
"
6.610253810882568,"-2.822693E-09
"
7.095957279205322,"-2.792382E-09
"
7.577115297317505,"-2.671137E-09
"
8.063156127929688,"-2.913626E-09
"
8.544790506362915,"-2.489271E-09
"
9.030123233795166,"-2.959092E-09
"
9.514209985733032,"-2.519582E-09
"
9.997412204742432,"-3.231892E-09
"
